tramo,id_monumento,clave_de_excavacion,num_bolsa,codigo_exc,correccion_cod,ubicacion,intervencion,materia_prima,color_fuente,tecnologia,industria,tipo_tecnologico,atributo_1,atributo_2,atributo_3,porcentaje_corteza,seccion_pieza,dimension_rango,cantidad,porcentaje_pieza,largo,ancho,grosor,observaciones_adicionales,dibujo,foto_1,foto_2,analizador,fecha_analisis,registro_surp
"2",T2_07033,T2_07033_222_0002899,"324",LITI,SIN CAMBIO,Segmento,IA 51 (La Pobreza),Sílex,Reddish Brown,Tallada,Percusión casual,Lasca de descortezamiento parcial,"-","-","-","-","-","-","1",> 70%,4.5,1.1,4.8,Lasca de descortezamiento parcial de sílex. Cuenta con un talón de una faceta (liso) y un bulbo muy pronunciado. El color de su corteza es blanco y cuenta con solo un negativo de dorso en la zona distal que al parecer es de dirección contraria.,No,No Aplica,No Aplica,Victor Oseguera,2022/07/01,No
"2",T2_07033,T2_07033_223_0002613,"230",LITI,SIN CAMBIO,Segmento,IA 51 (La Pobreza),Sílex,Pale Red,Tallada,Percusión casual,Lasca de descortezamiento parcial,"-","-","-","-","-","-","1",> 70%,4.8,0.8,3.3,"Lasca chica de descortezamiento parcial y acondicionamiento lateral de núcleo. Esta lasca tiene un talón liso, con preparación de eliminación de cornisa hacia el dorso del artefacto. Su cara dorsal cuenta con una sección mínima de corteza en la parte más distal, dos negativos correspondientes a la que se analiza y en el filo derecho cuenta con extraxxiones fallidas (que fueron las que se corrigieron con la extracción de este derivado de núcleo).",No,No Aplica,No Aplica,Victor Oseguera,2022/07/01,No
"2",T2_07033,T2_07033_223_0002673_LL1,242_1,LITI,OLIT,Segmento,IA 51 (La Pobreza),Sílex,Reddish Yellow,Tallada,Navajas,Núcleo unidireccional de navajas,Plataforma lisa(unifacetada),Unidireccional,Extracción,10 a 20%,Completa,> 5.5 cm,"1",> 70%,7.2,4.6,6.4,"Núcleo de navajas/láminas unidreccional de sílex. Se constituye en un volumen más o menos cónico provocado por las extracciones laminares; aunque cuenta con algunas extracciones de lascas, se observa una clara intención en la producción de navajas. Cuenta con una plataforma de lisa a facetada con una morfología cóncava. Se observan preparaciones de las extracciones laminares a manera de eliminación de cornisas hacia el dorso de las láminas y hacia la plataforma. Incluso, se observan 2 láminas perfectamente extraíbles que nunca se realizaron. Tiene también una pequeña proporción de corteza en uno de sus costados de extracción.",Pendiente,T2_07033_223_0002673_LL1_F1,T2_07033_223_0002673_LL1_F2,Victor Oseguera,2023/03/08,No
"2",T2_07033,T2_07033_223_0002673_LL2,242_2,LITI,OLIT,Segmento,IA 51 (La Pobreza),Sílex,Light Gray,Tallada,Navajas,Núcleo unidireccional de navajas,Plataforma lisa(unifacetada),Unidireccional,Extracción,60 a 70%,Completa,> 5.5 cm,"1",> 70%,5.1,7.5,3.7,Núcleo de navajas/láminas unidireccional de sílex. Se constituye por un nódulo (ahora núcleo) que fue lasqueado transversalmente para producir una plataforma cóncava que pudiera servir como plataforma para la extracción de las láminas que presenta en us costado. Dicho nódulo parece haber sido aplanado y de corteza espesa.  se observa una plataforma cóncava y 3 negativos laminares.,T2_07033_223_0002673_LL2_0,T2_07033_223_0002673_LL2_F1,T2_07033_223_0002673_LL2_F2,Victor Oseguera,2023/03/08,No
"2",T2_07033,T2_07033_223_0002673,"242",LITI,OLIT,Segmento,IA 51 (La Pobreza),Caliza,Very Pale Brown,Herramientas,Percutor ,Percutor modificado,Huellas de percusión,"-","-",Sin_corteza,Completa,> 5.5 cm,"1",> 70%,9.8,4.9,7.5,"Percutor mineral de caliza. La materia prima es caliza con pequeños cristales laminares o foliados. Tiene al menos 3 áreas activas, dos de percusión en sus extremos y una de abrasión (en la más plana de sus caras). En planta su morfología es ojival de punta redondeada.",No ,T2_07033_223_0002673_F1,T2_07033_223_0002673_F2,Victor Oseguera,2023/03/08,No
"2",T2_07033,T2_07033_204_000,"-",LITI,LÍTICA EN CERÁMICA,Segmento,IA 51 (La Pobreza),Sílex,Light Gray,Tallada,Unifaciales y bifaciales,Lasca de adelgazar,"-","-","-","-","-","-","1",> 70%,4.2,0.8,2.6,"Lasca de adelgazamiento bifacial, fragmento medial sobre sílex gris con corteza parcial. Cuenta con negativos de dorso que lo cubren casi totalmente, a excepción de un área pequeña de corteza en la zona distal; los negativos de dorso son correspondientes con la lasca que se analiza y forman una sola nervadira en el dorso que provoca una sección transversal triangular en el artefacto. No cuenta con talón.",no,No Aplica,No Aplica,Victor Oseguera,2022/07/02,No
"2",T2_07033,T2_07033_204_000,"-",LITI,LÍTICA EN CERÁMICA,Segmento,IA 51 (La Pobreza),Caliza,Very Pale Brown,Herramientas,Percutor ,Percutor natural,"-","-","-","-","-","-","1",> 70%,7.9,6.1,7.2,"Percutor mineral semiesférico. Cuenta con 3 áreas activas de percusión que fueron dando la esfericidad al mismo, mientras que cuenta con lados planos cubiertos de corteza con ligeros pulimentos que aluden al agarre manual.",No,T2_07033_204_0001903_F1,No Aplica,Victor Oseguera,2022/07/02,No
"2",T2_07033,T2_07033_204_0001583,"214",LITI,SIN CAMBIO,Segmento,IA 51 (La Pobreza),No Identificada,Dusky Red,No identificada,No Identificado,No identificado,"-","-","-","-","-","-","1",> 70%,3.1,2.2,3.6,Fragmento de material no identificado con apariencia de abundancia de óxido de hierro FeO.,No,No Aplica,No Aplica,Victor Oseguera,2022/07/02,No
"2",T2_07033,T2_07033_204_0001618,"240",LITI,LITI,Segmento,IA 51 (La Pobreza),Sílex,Strong Brown,Tallada,Unifaciales y bifaciales,Lasca de adelgazamiento y descortezamiento parcial,Sin talón,Negativos dorsales discordantes,Desgaste,20 a 30%,Completa,> 5.5 cm,"1",> 70%,7.1,1.9,5.2,"Lasca de descortezamiento parcial y adelgazamiento bifacial sobre  sílex. Ausencia de talón, pero cuenta con cono y bulbo de percusión (probablemente mineral). La cara dorsal tiene en su filo derecho una delgada sección de corteza que va de la zona distal hasta la proximal; el lado izquierdo tiene negativos de dirección transversal a la que se analiza y tienen apariencia de pertenecer a negativos laminares.",No,No Aplica,No Aplica,Victor Oseguera,2023/03/08,No
"2",T2_07033,T2_07033_204_0001618_LL1,240_1,LITI,OLIT,Segmento,IA 51 (La Pobreza),Caliza,Pale Yellow,Tallada,Unifaciales y bifaciales,Cincel,Huellas de percusión,Pulimentos,Desgaste,20 a 30%,Completa,> 5.5 cm,"1",> 70%,11.3,4.3,7.2,"Cincel biacial, sobre nódulo de caliza fina (presenta corteza al centro de ambas caras). Fue trabajado concentricamente y conservó corteza al centro de ambas caras. Suponemos que es un artefacto para imprimir percusión indirecta debido al uso que presenta en la parte distal (como área activa) y al golpeteo en la parte proximal que es muy evidente (producido por percusión mineral). La corteza presenta algunos óxidos de hierro en su composición. ",No ,T2_07033_204_0001618_LL1_F1,T2_07033_204_0001618_LL1_F1,Victor Oseguera,2023/03/08,No
"2",T2_07033,T2_07033_204_0001618_LL2,240_2,LITI,OLIT,Segmento,IA 51 (La Pobreza),Caliza,Pale Yellow,Herramientas,Percutor ,Percutor/pulidor bifuncional,Pulimentos,Huellas de percusión,Desgaste,Sin_corteza,Completa,> 5.5 cm,"1",> 70%,10.5,3.5,6.2,"Percutor/pulidor bifuncional sobre caliza. Tiene forma ovalada. Muy probablemente fue utilizado en las dos actividades. Por un lado, en sus partes más distales presenta bordes activos de percusión y en una de sus caras muestra pulimentos. Tiene un peso adecuado para percutir.",No,T2_07033_204_0001618_LL2_F1,T2_07033_204_0001618_LL2_F2,Victor Oseguera,2023/03/08,No
"2",T2_07033,T2_07033_204_0001618_LL3,240_3,LITI,OLIT,Segmento,IA 51 (La Pobreza),Caliza,Beige gris,Pulida,Utilitaria,Pulidor,Pulimentos,Desgaste,"-",Sin_corteza,Completa,> 5.5 cm,"2",> 70%,6.8,2.4,4.8,"Pulidores de caliza. Uno es de morfológía cuadrangular irregular, con ambas caras pulidas. El otro  con morfología más o menos pentagonal aplanada y con una zona plana para pulir (Dimensiones en cm= 5.1, 2.72, 6).",No,T2_07033_204_0001618_LL3_F1,T2_07033_204_0001618_LL3_F2,Victor Oseguera,2023/03/08,No
"2",T2_07033,T2_07033_222_0002838,"302",OLIT,SIN CAMBIO,Segmento,IA 51 (La Pobreza),Caliza,Light Yellowish brown,Herramientas,Percutor ,Percutor natural,"-","-","-","-","-","-","1",> 70%,11.2,8.8,10.6,"Percutor semiesférico y masivo de caliza. Su corteza tiene apariencia porosa. Cuenta con una zona plana de percusión y a los lados de esta (en las partes planas y paralelas del percutor, al mismo tiempo la zona más delgada) cuenta con ligeros pulimentos que develan el agarre manual del mismo.",No,T2_07033_222_0002838_F1,No Aplica,Victor Oseguera,2022/07/02,No
"2",T2_07033,T2_07033_222_0002866,"315",LITI,OLIT,Segmento,IA 51 (La Pobreza),Sílex,Pinkish Gray,Tallada,Percusión casual,Núcleo casual,"-","-","-","-","-","-","1",> 70%,4,5.4,2.6,"Núcleo de lascas completo, sobre pequeño nódulo irregular de sílex con corteza muy rugosa. Tiene una pequeña plataforma lisa (conformada por una extracción), tiene al menos 3 negativos correspondientes entre sí (extracciones unidireccionales) que parten de su plataforma y cuenta con un lasqueo transversal de regularización  de la forma general del núcleo (en la parte distal del mismo). Cuenta con preparación de las extracciones por eliminación de corteza hacia el dorso de las lascas.",No,T2_07033_222_0002866_F1,T2_07033_222_0002866_F2,Victor Oseguera,2022/07/02,No
"2",T2_07033,T2_07033_222_0002564_LL1,204_1,OLIT,SIN CAMBIO,Segmento,IA 51 (La Pobreza),Sílex,Brown,Tallada,Unifaciales y bifaciales,Punta de proyectil sobre lasca,Bifacial,Retoque bimarginal,Desgaste,Sin_corteza,Completa,5 cm,"1",> 70%,4.83,0.68,3.54,"Punta de proyectil bifacial sobre sílex. Pedunculada (pedúnculo ancho, recto y que conforma una concavidad hasta unirse con los filos superiores), manufacturada sobre lasca en sílex. Fue aprovechada la extensión de el ancho de una lasca de sílex para fabricar la punta, dejando el lado menos espeso y más distal para conformar el pedúnculo. Contiene trabajo bifacial al parecer por percusión directa-dura, pero dejaron huellas que nos indican que se trata de una lasca (el filo más espeso nos podría indicar el bulbo). Los filos principales en planta son de forma convexa y los filos en perfil son sinuosos debido al retoque bifacial.",Pendiente,T2_07033_222_0002564_LL1_F1,T2_07033_222_0002564_LL1_F2,Victor Oseguera,2023/03/09,Pendiente
"2",T2_07033,T2_07033_222_0002592,"212",LITI,SIN CAMBIO,Segmento,IA 51 (La Pobreza),Sílex,Very Dusky Red,Tallada,Percusión casual,Navaja de descortezamiento parcial,"-","-","-","-","-","-","1",> 70%,4.8,1.5,1.9,"Lámina de descortezamiento parcial, por percusión sobre sílex. Presenta una pequeña sección de corteza en la zona central más alta y cercana al talón (a manera de esféruñlas de concentración silícea). Parace haber sido sometida a tratamiento térmico por los desprendimientos sin origen aparente que presenta.",No,No Aplica,No Aplica,Victor Oseguera,2022/07/04,No
"2",T2_07033,T2_07033_222_0002593,"213",OLIT,SIN CAMBIO,Segmento,IA 51 (La Pobreza),Sílex,Dark Grayish Brown,Tallada,Unifaciales y bifaciales,Punta de proyectil sobre lasca,Bifacial,Retoque bimarginal,Desgaste,Sin_corteza,Proximal,4.5 cm,"1",> 70%,4.47,0.55,2.04,"Punta de proyectil sobre lasca de sílex. Tiene pedúnculo ancho y recto, con filos laterales planos (vistos en planta hasta la fractura). Manufacturada sobre lasca, equilibrada con retoques  manuales por presión. Una sección de la punta (aprox < 5%) tiene corteza o lo que resta de ella. Se aprovechó la zona más delgada de la alasca para hacer el pedúnculo y así tuviera más posibilidad de ser puesta en un astil o mango.",Pendiente,T2_07033_222_0002593_F1,T2_07033_222_0002593_F2,Victor Oseguera,2023/03/09,Pendiente
"2",T2_07033,T2_07033_222_0002624,"223",LITI,OLIT,Segmento,IA 51 (La Pobreza),Sílex,Light Brown,Tallada,Percusión casual,Raspador sobre lasca,"-","-","-","-","-","-","1",> 70%,3.3,1.8,4.7,"Raspador convexo sobre lasca de  sílex. Se aprovechó el filo de una lasca muy espesa que formaba una relaciçon angular muy abrupta entre cara dorsal y ventral, así como la concavidad de la cara ventral para este artefacto. LA forma del borde activo es más o menos convexa.",No,T2_07033_222_0002624_F1,T2_07033_222_0002624_F2,Victor Oseguera,2022/07/04,No
"2",T2_07033,T2_07033_222_0002667,"236",LITI,SIN CAMBIO,Segmento,IA 51 (La Pobreza),Sílex,Pale Yellow,Tallada,Percusión casual,Lasca casual,"-","-","-","-","-","-","1",> 70%,3.5,1.18,2.68,Lasca pequeña de percusión. Presenta un talón difacetado y  con un poco de preparación por cornisa eliminada hacia el dorso en los laterales. Sus negativos dorsales parecen ser correspondientes con la que se analiza.,No,No Aplica,No Aplica,Victor Oseguera,2022/07/04,No
"2",T2_07033,T2_07033_222_0002670,"239",LITI,SIN CAMBIO,Segmento,IA 51 (La Pobreza),Sílex,Pale Red,Tallada,Navajas,Navaja de descortezamiento parcial,"-","-","-","-","-","-","1",> 70%,8.58,2.79,3.91,"Navaja de descortezamiento parcial. Materia prima entre sílex y caliza, muy heterogénea. Tiene un talón cuebierto de corteza.",No,No Aplica,No Aplica,Victor Oseguera,2022/07/04,No
"2",T2_07033,T2_07033_222_0002774,"270",LITI,SIN CAMBIO,Segmento,IA 51 (La Pobreza),Sílex,Yellowish Brown,Tallada,Unifaciales y bifaciales,Lasca de reavivamiento de filo sobre hacha pulida,"-","-","-","-","-","-","1",> 70%,2.5,0.6,2.2,"Lasca de adelgazamiento bifacial sobre hazuela pulida en sílex. Probablemente sea una lasca de reavivamiento de filo de azuela, presenta pulimentos en su cara dorsal en el costado del filo derecho; el resto del dorso son negativos discordantes a la dirección de la lasca que se analiza. El talón es liso sin ningún tipo de preparación aparente.",No,No Aplica,No Aplica,Victor Oseguera,2022/07/04,No
"2",T2_07033,T2_07033_204_0002005,"331",LITI,SIN CAMBIO,Segmento,IA 51 (La Pobreza),Sílex,Dark Red ,Tallada,Percusión casual,Lasca casual,"-","-","-","-","-","-","1",> 70%,4.16,1.66,3.16,"Lasca chica, de regularización distal de núcleo. Presenta un talón muy delgado e imperceptible, pero que existe por la presencia adyacente del bulbo completo. Sus negativos dorsales  van en dirección concéntrica a l centro de la pieza (la zona más espesa de la pieza). La materia prima tiene color rojo y uno más claro (café claro).",No,No Aplica,No Aplica,Victor Oseguera,2022/07/05,No
"2",T2_07033,T2_07033_204_0002025,"351",LITI,SIN CAMBIO,Segmento,IA 51 (La Pobreza),Sílex,Pinkish White,Tallada,Percusión casual,Lasca de descortezamiento parcial,"-","-","-","-","-","-","1",> 70%,5.6,2.3,5.1,"Lasca grande de descortezamiento parcial. Tiene un amplio talón liso sin preparación dorsal. Tiene una zona de corteza en el lado izquierdo del dorso, acompañada hacia el resto de la cara por negativos de lascados anteriores que son de dirección correspondientes y transversales.",No,No Aplica,No Aplica,Victor Oseguera,2022/07/05,No
"2",T2_07033,T2_07033_222_0002591,"211",OLIT,SIN CAMBIO,Segmento,IA 51 (La Pobreza),Sílex,Dark Reddish Brown,Tallada,Percusión casual,Perforador sobre lasca de casual sobre bifacial,Talón multifacetado,Negativos dorsales correspondientes,Desgaste,Sin_corteza,Completa,4.5 cm,"1",> 70%,4.49,1.12,2.53,"Perforador sobre lasca casual sobre bifacial de sílex. Esta lasca-soporte sobre la que se manufacturó el perforador fue extraída de un artefacto bifacial; debido a esto, el perforador cuenta con un talón multifacetado que consta de negativos de adelgazamiento bifacial (que eran parte del cuerpo del bifacial). Se aprovechó el filo izquierdo de la lasca y por medio de retoques manuales y bien ubicados. Se creó una sección transversal romboidal para perforar; los filos de la lasca fueron matados intencionalmente para evitar cortes por el agarre manual. La sección transversal del borde útil d ela punta perforante es de forma triangular.",Pendiente,T2_07033_222_0002591_F1,T2_07033_222_0002591_F2,Victor Oseguera,2023/03/09,Pendiente
"2",T2_07033,T2_07033_222_0002609,"219",OLIT,SIN CAMBIO,Segmento,IA 51 (La Pobreza),No Identificada,Greenish Gray,Pulida,Ornamentos,Cuenta,Perforación bicónica,Volumen tubular,Completo,Sin_corteza,Completa,< 1 cm,"1",> 70%,0.65,0.81,0.8,"Cuenta de materia prima no identificada. Morfología cilíndrica, con bordes redondeados y perforación bicónica. Díametro interior= 0.34.",Pendiente,T2_07033_222_0002609_F1,T2_07033_222_0002609_F2,Victor Oseguera,2022/07/05,Pendiente
"2",T2_07033,T2_07033_222_0002663,"232",LITI,SIN CAMBIO,Segmento,IA 51 (La Pobreza),Sílex,Very Pale Yellow,Tallada,Unifaciales y bifaciales,Lasca de adelgazar,"-","-","-","-","-","-","1",> 70%,2.4,1,2.7,Lasca de adelgazamiento bifacial sobre sílex. Cuenta ocn un talón de varias facetas y preparación por eliminación de cornisa hacia el dorso. Su cara dorsal cuenta con negativos correspondientes con la dirección de la lasca que se analiza. ,No,T2_07033_222_0002663_F1,T2_07033_222_0002663_F1,Victor Oseguera,2022/07/05,No
"2",T2_07033,T2_07033_222_0002730,"250",LITI,SIN CAMBIO,Segmento,IA 51 (La Pobreza),Sílex,White,Tallada,Percusión casual,Lasca de descortezamiento parcial,"-","-","-","-","-","-","1",> 70%,0,0,0,"Lasca chica de descortezamiento parcial. Cuenta con talón de corteza blanca y fina, asì como en la zona distal del dorso de la lasca. Los negativos del dorso son de dirección discordante a la de la lassca que se analiza, así como correspondientes.",No,No Aplica,No Aplica,Victor Oseguera,2022/07/05,No
"2",T2_07033,T2_07033_222_0002817,"292",LITI,SIN CAMBIO,Segmento,IA 51 (La Pobreza),Sílex,White,Tallada,Percusión casual,Lasca casual,"-","-","-","-","-","-","1",> 70%,3.5,1.8,3.1,Lasca chica de sílex. Cuenta con un talón de varias facetas y preparación de eliminación de cornisa por abrasión hacia el talón y hacia el dorso del artefacto. Cuenta con diversos negativos del dorso que se juntan al centro del mismo y hacen muy espesa la zona central.,No,No Aplica,No Aplica,Victor Oseguera,2022/07/05,No
"2",T2_07033,T2_07033_222_0002817,"292",LITI,SIN CAMBIO,Segmento,IA 51 (La Pobreza),Sílex,Pale Red,Tallada,Percusión casual,Lasca de descortezamiento parcial,"-","-","-","-","-","-","1",> 70%,3,1.5,2.9,Lasca chica de descortezamiento parcial en sílex. Cuenta con un talón difacetado sin huellas dorsales de preparación. La cara dorsal cuenta con un negativo de lascado anterior que cubre la zona distal y conrteza que cubre la ozna distal de la pieza.,No,No Aplica,No Aplica,Victor Oseguera,2022/07/05,No
"2",T2_07033,T2_07033_204_0001978,"304",LITI,SIN CAMBIO,Segmento,IA 51 (La Pobreza),Sílex,Weak Red,Tallada,Unifaciales y bifaciales,Lasca de adelgazamiento y descortezamiento parcial,"-","-","-","-","-","-","1",> 70%,3.2,1.2,4.2,"Lasca de adelgazamiento bifacial con corteza parcial. Presenta un talón liso con una marcada preparación del mismo por eliminación de corteza hacia el dorso. Este derivado se extrajo para eliminar la corteza que se encuentra en la zona distal de la misma, pero también para resvastar la zona espesa que forma una alta  cresta.",No,No Aplica,No Aplica,Victor Oseguera,2022/07/06,No
"2",T2_07033,T2_07033_204_0002011,"337",LITI,SIN CAMBIO,Segmento,IA 51 (La Pobreza),Calcedonita,Pale Brown,Tallada,Percusión casual,Lasca de descortezamiento parcial,"-","-","-","-","-","-","1",> 70%,5.9,3,2.9,"Lasca grande de descortezamiento parcial. Cuenta con un talón liso sin preparación dorsal. La cara ventral no muestra bulbo, pero si estrias que denotan su dirección de extracción. La cara dorsal tiene corteza en su zona más espesa y en las zonas pegadas a los filos está cubierta por negativos de extracciones anteriores.",No,No Aplica,No Aplica,Victor Oseguera,2022/07/06,No
"2",T2_07033,T2_07033_204_0002011,"337",LITI,SIN CAMBIO,Segmento,IA 51 (La Pobreza),Sílex,Very Pale Brown,Tallada,Percusión casual,Lasca casual,"-","-","-","-","-","-","1",> 70%,5.6,0.7,3,Lasca grande. Con talón liso y forma pentagonal irregular. La cara dorsal cuenta con negativos que la cubren y son correspondientes.,No,No Aplica,No Aplica,Victor Oseguera,2022/07/06,No
"2",T2_07033,T2_07033_204_0002021,"347",LITI,OLIT,Segmento,IA 51 (La Pobreza),Sílex,Very Pale Brown,Tallada,Unifaciales y bifaciales,Hacha,Negativos dorsales centrípetos,Pulimentos,Retoque por percusión,Sin_corteza,Completa,> 5.5 cm,"1",> 70%,8.14,4.44,2.08,"Hacha tallada sobre sílex. Con reavivamiento de filos y pulida parcialmente. Se trata de la reutilización o el retrabajo de talla bifacial sobre un hacha previa y ligeramente pulida; presenta una zona alta en una de las caras que tiene pulimento, de la misma forma los filos laterales están lisos.  Su sección transversal es biconvexa y la longitudinal es de forma paralelográmica. ",Pendiente,T2_07033_204_0002021_F1,T2_07033_204_0002021_F2,Victor Oseguera,2023/03/10,Pendiente
"2",T2_07033,T2_07033_204_0002220,"386",LITI,SIN CAMBIO,Segmento,IA 51 (La Pobreza),No Identificada,Dusky Red,Tallada,Unifaciales y bifaciales,Lasca de adelgazar,"-","-","-","-","-","-","1",> 70%,4.97,1.1,3.77,"Lasca de adelgazamiento bifacial sobre material microcristalino no identificado. Cuenta con un talón liso, cóncavo  y de morfología paralelográmica. La cara ventral está muy  irregular, quizá debido al tipo de fracura de esta roca. La cara dorsal está cubierta de negativos correspondientes y opuestos.",No,No Aplica,No Aplica,Victor Oseguera,2022/07/06,No
